id,Start time,Completion time,Email,Name,consent,dept,role,tenure,copilot_access,genai_use,copilot_use,prior_training,Task Fit.My work includes tasks for which Microsoft Copilot could be useful.,Voluntariness.Using Microsoft Copilot in my work would be mostly voluntary rather than required.,age,gender,TR1,TR2,TR3,TR4,IU1,IU2,IU3,PU1,PU2,PU3,PEOU1,PEOU2,PEOU3,SI1,SI2,FC1,FC2,Please add any additional comments you might have,Did you receive the Copilot newsletter(s)?,How much of the Copilot newsletter(s) did you read?,Did you attend the Copilot workshop?,"Manipulation Checks.Because of the campaign, I understand better what Copilot can and cannot be used for in my work context.",Manipulation Checks.I know where to find guidance on using Copilot responsibly.,Manipulation Checks.I feel more capable of using Copilot effectively than before the campaign.,Manipulation Checks.I learned practical ways to apply Copilot to my tasks.,"What, if anything, changed in how you think about or use Copilot after the campaign?",TR_comp,IU_comp,PU_comp,PEOU_comp,SI_comp,FC_comp,wave,dept_std,age_std
14,2026-05-05T15:29:59Z,2026-05-05T15:35:08Z,anonymous,NA,"Yes, I agree",QA,Specialist,7+ Years,No,Sometimes,Never,No,4 - Neither agree nor disagree,4 - Neither agree nor disagree,55+,Male,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,no comment,NA,NA,NA,NA,NA,NA,NA,NA,4,4.333333333333333,4,4,3,4,0,Other,55+
15,2026-05-05T15:49:32Z,2026-05-05T15:55:02Z,anonymous,NA,"Yes, I agree",Sales,Employee,0-2 Years,Yes,Often,All the time,Yes,7 - Strongly agree,6 - Agree,35-44,Male,6,5,5,6,7,7,7,7,7,7,6,7,6,7,7,7,6,"What I believe will further accelerate adoption is the future use of Copilot Cowork, giving every employee an active assistant working alongside them.",NA,NA,NA,NA,NA,NA,NA,NA,5.5,7,7,6.333333333333333,7,6.5,0,Sales,35-44
16,2026-05-05T15:56:51Z,2026-05-05T16:02:48Z,anonymous,NA,"Yes, I agree",IT,Employee,0-2 Years,Yes,Often,Often,Yes,5 - Somewhat agree,5 - Somewhat agree,35-44,Female,5,5,5,5,6,5,6,3,4,5,5,5,5,5,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.666666666666667,4,5,5,5,0,IT,35-44
17,2026-05-05T16:17:18Z,2026-05-05T16:23:45Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,No,Often,Never,No,6 - Agree,3 - Somewhat disagree,45-54,Male,5,6,4,4,6,6,7,6,6,6,4,4,4,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,6.333333333333333,6,4,5,5.5,0,Sales,45-54
18,2026-05-05T16:54:45Z,2026-05-05T17:13:05Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,All the time,All the time,No,6 - Agree,6 - Agree,25-34,Female,4,4,4,4,6,6,6,5,6,5,6,6,6,4,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5.333333333333333,6,4,6,0,Sales,Under 35
19,2026-05-05T17:18:15Z,2026-05-05T17:26:05Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,Yes,Sometimes,Sometimes,No,6 - Agree,6 - Agree,45-54,Female,6,6,5,6,6,6,6,5,6,6,6,6,6,3,4,6,4,"MS Copilot has been useful for checking changes in a document , brainstorming and sense checking. However how you phrase a question will provide different answers so can never be taken on face value. You still need to double check",NA,NA,NA,NA,NA,NA,NA,NA,5.75,6,5.666666666666667,6,3.5,5,0,Sales,45-54
20,2026-05-06T08:08:20Z,2026-05-06T08:16:53Z,anonymous,NA,"Yes, I agree",Supply Chain,Employee,0-2 Years,Not sure,Often,Never,Yes,6 - Agree,5 - Somewhat agree,45-54,Male,5,6,4,6,4,6,6,4,6,6,5,5,5,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,5.333333333333333,5.333333333333333,5,2,5,0,Other,45-54
21,2026-05-06T09:11:32Z,2026-05-06T09:17:19Z,anonymous,NA,"Yes, I agree",Finance,Employee,0-2 Years,No,Often,Never,No,7 - Strongly agree,6 - Agree,25-34,Female,6,6,6,6,5,6,6,6,5,5,5,5,5,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.666666666666667,5.333333333333333,5,4.5,4,0,Finance,Under 35
22,2026-05-06T16:13:19Z,2026-05-06T16:20:25Z,anonymous,NA,"Yes, I agree",HR,Manager,3-7 Years,Yes,Often,Never,No,6 - Agree,6 - Agree,55+,Female,6,6,4,6,6,6,6,5,3,4,5,4,4,4,2,5,4,I do have co-pilot but I have to admit I always use chatgpt. When the policy is to us co-pilot I am very willing to change,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6,4,4.333333333333333,3,4.5,0,Other,55+
23,2026-05-07T08:19:05Z,2026-05-07T08:45:20Z,anonymous,NA,"Yes, I agree",Marketing,Employee,0-2 Years,Yes,Sometimes,Often,No,6 - Agree,4 - Neither agree nor disagree,35-44,Female,6,5,5,6,6,5,6,4,5,5,5,5,5,4,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.666666666666667,4.666666666666667,5,3.5,5,0,Other,35-44
24,2026-05-07T09:48:01Z,2026-05-07T09:52:14Z,anonymous,NA,"Yes, I agree",MarCom / Quality / Back Office,Employee,7+ Years,Yes,Sometimes,Sometimes,No,6 - Agree,3 - Somewhat disagree,45-54,Female,6,6,5,6,5,5,5,5,6,6,5,5,6,4,6,7,7,"Using Copilot would help a lot in the daily work, looking forward to learn more about it.",NA,NA,NA,NA,NA,NA,NA,NA,5.75,5,5.666666666666667,5.333333333333333,5,7,0,Other,45-54
25,2026-05-08T09:36:16Z,2026-05-08T09:39:09Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,Yes,All the time,Sometimes,No,7 - Strongly agree,7 - Strongly agree,55+,Male,7,7,6,6,7,7,7,6,7,6,6,6,6,4,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7,6.333333333333333,6,4,5,0,Sales,55+
26,2026-05-08T09:51:11Z,2026-05-08T09:55:13Z,anonymous,NA,"Yes, I agree",Finance,Employee,7+ Years,Yes,All the time,Sometimes,Yes,6 - Agree,4 - Neither agree nor disagree,55+,Female,4,4,3,6,6,6,6,4,4,4,6,6,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,6,4,5.333333333333333,4,4,0,Finance,55+
27,2026-05-08T11:18:36Z,2026-05-08T11:24:53Z,anonymous,NA,"Yes, I agree",Sustainability/Comms,Manager,7+ Years,Not sure,All the time,Never,No,6 - Agree,2 - Disagree,35-44,Female,4,4,4,6,6,6,6,4,4,4,5,5,4,2,2,4,6,I have not used copilot before so most answers in this survey I couldn't answer...,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6,4,4.666666666666667,2,5,0,Other,35-44
28,2026-05-08T13:01:15Z,2026-05-08T13:04:48Z,anonymous,NA,"Yes, I agree",HR,Manager,7+ Years,Yes,All the time,All the time,No,7 - Strongly agree,6 - Agree,45-54,Female,6,6,6,6,7,7,7,6,7,7,6,6,6,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.666666666666667,6,6,5,0,Other,45-54
29,2026-05-08T14:22:04Z,2026-05-08T14:25:42Z,anonymous,NA,"Yes, I agree",Finance,Manager,7+ Years,Not sure,Never,Never,No,7 - Strongly agree,5 - Somewhat agree,55+,Female,6,6,4,5,6,6,6,6,6,6,4,4,4,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,6,6,4,6,5.5,0,Finance,55+
30,2026-05-08T14:43:57Z,2026-05-08T14:51:19Z,anonymous,NA,"Yes, I agree",management,Manager,7+ Years,Not sure,Often,Never,No,6 - Agree,6 - Agree,45-54,Female,6,6,4,6,4,4,4,5,5,5,5,5,5,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4,5,5,2,2,0,Other,45-54
31,2026-05-08T15:39:04Z,2026-05-08T15:42:02Z,anonymous,NA,"Yes, I agree",IT,Specialist,7+ Years,Yes,Never,Often,No,7 - Strongly agree,4 - Neither agree nor disagree,25-34,Male,6,7,6,7,6,6,6,5,7,7,6,6,6,4,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6,6.333333333333333,6,4,5,0,IT,Under 35
32,2026-05-11T09:02:10Z,2026-05-11T09:07:51Z,anonymous,NA,"Yes, I agree",Sales,Employee,0-2 Years,Yes,All the time,Never,No,5 - Somewhat agree,5 - Somewhat agree,25-34,Male,4,4,4,4,2,5,5,4,5,5,6,6,5,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4.666666666666667,5.666666666666667,2,2,0,Sales,Under 35
33,2026-05-11T14:36:49Z,2026-05-11T14:40:04Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,Yes,Often,Never,No,6 - Agree,6 - Agree,55+,Male,5,5,5,2,5,5,5,6,6,6,5,5,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,5,6,5,4,4,0,Sales,55+
34,2026-05-11T15:40:18Z,2026-05-11T15:47:25Z,anonymous,NA,"Yes, I agree","My role includes all of the above, primarily Finance/Admin, HR, IT issues and HR",Employee,7+ Years,Not sure,Sometimes,Never,No,6 - Agree,5 - Somewhat agree,55+,Female,5,6,4,6,6,6,6,6,6,6,5,5,5,4,4,5,6,Eager to use Copilot to support my daily tasks.,NA,NA,NA,NA,NA,NA,NA,NA,5.25,6,6,5,4,5.5,0,Other,55+
35,2026-05-11T17:17:00Z,2026-05-11T17:20:18Z,anonymous,NA,"Yes, I agree",Sales,Employee,0-2 Years,Not sure,Sometimes,Sometimes,No,6 - Agree,6 - Agree,35-44,Male,6,5,3,5,6,5,5,5,6,6,6,6,4,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,5.333333333333333,5.666666666666667,5.333333333333333,5,6,0,Sales,35-44
36,2026-05-12T11:09:31Z,2026-05-12T11:15:33Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,No,Sometimes,Never,No,6 - Agree,6 - Agree,35-44,Female,4,4,4,4,4,6,6,6,6,6,5,5,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.333333333333333,6,4.666666666666667,3,3,0,Sales,35-44
37,2026-05-12T11:16:42Z,2026-05-12T11:19:53Z,anonymous,NA,"Yes, I agree",IT,Employee,3-7 Years,Yes,All the time,Often,Yes,6 - Agree,6 - Agree,35-44,Female,5,5,5,5,7,6,6,6,5,5,7,6,7,4,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.333333333333333,5.333333333333333,6.666666666666667,4.5,7,0,IT,35-44
38,2026-05-12T11:28:57Z,2026-05-12T11:34:02Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,No,All the time,Often,No,7 - Strongly agree,7 - Strongly agree,25-34,Male,6,6,5,6,5,7,7,5,6,6,7,6,6,4,2,3,4,In order to successfully use CoPilot I/we would need a paid license. Free versions of such applications can be limited.,NA,NA,NA,NA,NA,NA,NA,NA,5.75,6.333333333333333,5.666666666666667,6.333333333333333,3,3.5,0,Sales,Under 35
39,2026-05-12T12:38:01Z,2026-05-12T12:48:38Z,anonymous,NA,"Yes, I agree",Finance,Employee,7+ Years,Yes,Sometimes,Sometimes,Yes,5 - Somewhat agree,3 - Somewhat disagree,45-54,Female,5,5,4,6,6,6,6,5,6,6,4,4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5.666666666666667,4,3,3,0,Finance,45-54
40,2026-05-12T12:56:25Z,2026-05-12T12:59:55Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,No,Often,Never,No,7 - Strongly agree,5 - Somewhat agree,45-54,Female,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,7,6,6,5,1,0,Sales,45-54
41,2026-05-12T13:40:21Z,2026-05-12T13:44:37Z,anonymous,NA,"Yes, I agree",Marketing,Employee,7+ Years,Not sure,All the time,Never,No,6 - Agree,4 - Neither agree nor disagree,55+,Female,4,4,4,4,6,6,6,6,6,6,6,6,6,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,6,2,2,0,Other,55+
42,2026-05-12T13:40:39Z,2026-05-12T13:45:16Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,Sometimes,Never,No,5 - Somewhat agree,6 - Agree,55+,Female,4,6,4,6,6,6,5,4,4,4,4,4,4,4,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.666666666666667,4,4,4,6,0,Sales,55+
43,2026-05-12T13:46:50Z,2026-05-12T13:52:00Z,anonymous,NA,"Yes, I agree",Sales,Employee,0-2 Years,No,Often,Often,No,6 - Agree,6 - Agree,35-44,Female,6,5,5,6,6,6,6,6,5,5,6,6,6,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6,5.333333333333333,6,4,3.5,0,Sales,35-44
44,2026-05-12T14:31:52Z,2026-05-12T14:37:43Z,anonymous,NA,"Yes, I agree",QA,Manager,7+ Years,Yes,Sometimes,Sometimes,No,5 - Somewhat agree,7 - Strongly agree,55+,Male,5,5,4,5,5,5,5,5,5,4,5,5,4,2,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,5,4.666666666666667,4.666666666666667,3.5,6,0,Other,55+
45,2026-05-12T14:33:33Z,2026-05-12T14:42:16Z,anonymous,NA,"Yes, I agree",Sales,Employee,0-2 Years,No,Never,Never,No,4 - Neither agree nor disagree,4 - Neither agree nor disagree,25-34,Male,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,0,Sales,Under 35
47,2026-05-12T14:51:53Z,2026-05-12T14:58:33Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Yes,Sometimes,Sometimes,No,5 - Somewhat agree,5 - Somewhat agree,35-44,Female,3,4,4,5,5,5,5,5,5,5,6,6,6,5,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,6,5.5,5,0,Sales,35-44
48,2026-05-12T16:04:01Z,2026-05-12T16:08:14Z,anonymous,NA,"Yes, I agree",IT,Manager,3-7 Years,Yes,Often,Sometimes,Yes,6 - Agree,6 - Agree,55+,Male,5,5,5,6,6,6,4,5,6,6,6,5,5,4,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,5.333333333333333,5.666666666666667,5.333333333333333,4.5,6,0,IT,55+
49,2026-05-12T16:37:02Z,2026-05-12T16:40:30Z,anonymous,NA,"Yes, I agree",IT,Employee,0-2 Years,Yes,Often,Often,Yes,7 - Strongly agree,5 - Somewhat agree,25-34,Male,5,6,6,7,7,6,6,6,5,5,6,6,5,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.333333333333333,5.333333333333333,5.666666666666667,7,6.5,0,IT,Under 35
50,2026-05-13T11:56:40Z,2026-05-13T12:00:26Z,anonymous,NA,"Yes, I agree",Finance,Manager,7+ Years,Yes,Sometimes,Never,No,4 - Neither agree nor disagree,2 - Disagree,55+,Male,6,6,4,6,5,6,6,6,6,6,3,3,3,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.666666666666667,6,3,6,4.5,0,Finance,55+
51,2026-05-14T09:29:48Z,2026-05-14T09:33:21Z,anonymous,NA,"Yes, I agree",Supply Chain,Manager,7+ Years,No,Often,Never,No,6 - Agree,5 - Somewhat agree,35-44,Female,6,6,6,6,6,6,6,6,6,6,5,5,5,4,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,4.5,6,0,Other,35-44
52,2026-05-15T15:48:15Z,2026-05-15T15:52:52Z,anonymous,NA,"Yes, I agree",Sales,Specialist,3-7 Years,Yes,Sometimes,Never,No,6 - Agree,6 - Agree,35-44,Female,6,4,4,4,6,6,6,5,5,5,5,5,5,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6,5,5,4,5,0,Sales,35-44
53,2026-05-15T15:55:59Z,2026-05-15T16:08:38Z,anonymous,NA,"Yes, I agree",Finance,Manager,3-7 Years,Yes,Often,Often,Yes,6 - Agree,2 - Disagree,35-44,Female,5,5,4,4,6,6,6,5,5,5,6,6,6,6,6,5,4,Has copilot functionality improve also on powerpoint. In the past this was not the case.,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6,5,6,6,4.5,0,Finance,35-44
54,2026-05-15T16:00:56Z,2026-05-15T16:09:03Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,Often,Never,No,4 - Neither agree nor disagree,4 - Neither agree nor disagree,55+,Male,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4.5,5,0,Sales,55+
55,2026-05-15T16:05:19Z,2026-05-15T16:10:39Z,anonymous,NA,"Yes, I agree",Account Support,Employee,7+ Years,No,Never,Never,No,4 - Neither agree nor disagree,4 - Neither agree nor disagree,55+,Female,4,4,4,4,5,5,5,4,3,3,5,4,4,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3.3333333333333335,4.333333333333333,2,1,0,Other,55+
56,2026-05-15T16:22:50Z,2026-05-15T16:34:52Z,anonymous,NA,"Yes, I agree",Sales,Specialist,7+ Years,No,Sometimes,Never,No,6 - Agree,5 - Somewhat agree,35-44,Female,4,4,4,5,4,6,6,7,7,7,6,6,6,5,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,5.333333333333333,7,6,5,5,0,Sales,35-44
57,2026-05-15T16:23:28Z,2026-05-15T16:35:38Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,Sometimes,Never,No,7 - Strongly agree,5 - Somewhat agree,35-44,Female,4,4,4,4,4,6,6,7,7,6,4,4,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.333333333333333,6.666666666666667,4,2,4,0,Sales,35-44
58,2026-05-18T09:16:29Z,2026-05-18T09:22:30Z,anonymous,NA,"Yes, I agree",Qulity,Specialist,0-2 Years,Yes,All the time,Never,No,7 - Strongly agree,6 - Agree,25-34,Female,7,7,4,7,6,6,6,6,6,6,6,6,6,2,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,6,6,6,2,5,0,Other,Under 35
59,2026-05-18T09:54:45Z,2026-05-18T09:58:34Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,Not sure,Sometimes,Never,No,6 - Agree,6 - Agree,45-54,Female,4,4,4,4,6,6,6,6,6,6,5,5,5,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,5,7,5,0,Sales,45-54
60,2026-05-18T10:19:13Z,2026-05-18T10:21:53Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,Sometimes,Never,No,5 - Somewhat agree,4 - Neither agree nor disagree,25-34,Female,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.333333333333333,6,6,6,5,0,Sales,Under 35
61,2026-05-18T11:07:57Z,2026-05-18T11:12:10Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,Sometimes,Never,No,6 - Agree,6 - Agree,25-34,Female,5,5,4,5,5,5,5,5,5,5,6,6,6,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,5,5,6,4,4,0,Sales,Under 35
62,2026-05-18T14:21:24Z,2026-05-18T14:24:50Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,Not sure,Often,Never,No,7 - Strongly agree,6 - Agree,35-44,Female,6,4,4,4,4,6,6,5,5,5,6,6,5,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.333333333333333,5,5.666666666666667,4,4.5,0,Sales,35-44
63,2026-05-18T16:48:10Z,2026-05-18T16:53:38Z,anonymous,NA,"Yes, I agree",Sales,Employee,0-2 Years,No,Often,Never,No,6 - Agree,3 - Somewhat disagree,Under 25,Male,4,4,4,4,6,6,6,4,4,6,6,6,6,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4.666666666666667,6,4.5,5,0,Sales,Under 35
64,2026-05-18T20:20:20Z,2026-05-18T20:24:33Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,Yes,All the time,Sometimes,No,7 - Strongly agree,6 - Agree,55+,Male,5,4,5,6,6,6,6,6,6,6,5,5,5,4,4,5,2,My biggest issue today would be getting used to CoPilot since I have been using ChatGPT for a long time already. We know each other but this is not the case for CoPilot.,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,4,3.5,0,Sales,55+
65,2026-05-19T12:37:42Z,2026-05-19T12:43:13Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,Often,Never,No,6 - Agree,6 - Agree,25-34,Female,4,4,4,6,4,4,6,4,5,4,4,6,4,6,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.666666666666667,4.333333333333333,4.666666666666667,6,4,0,Sales,Under 35
66,2026-05-19T12:47:07Z,2026-05-19T12:50:40Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,Yes,Often,Never,No,6 - Agree,6 - Agree,45-54,Male,4,5,4,4,5,5,5,5,5,5,4,5,4,4,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,5,5,4.333333333333333,4,5,0,Sales,45-54
67,2026-05-19T12:49:53Z,2026-05-19T12:53:35Z,anonymous,NA,"Yes, I agree",Supply Chain,Manager,7+ Years,Not sure,Sometimes,Never,No,5 - Somewhat agree,6 - Agree,55+,Male,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,4.666666666666667,4.333333333333333,4,4,5,0,Other,55+
68,2026-05-19T12:49:31Z,2026-05-19T12:54:28Z,anonymous,NA,"Yes, I agree",Sales,Manager,3-7 Years,Yes,Often,Often,No,6 - Agree,2 - Disagree,55+,Male,6,5,2,6,6,6,6,6,6,5,6,6,6,4,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,6,5.666666666666667,6,5,5,0,Sales,55+
69,2026-05-19T12:48:01Z,2026-05-19T13:24:56Z,anonymous,NA,"Yes, I agree",Int. Key Account Management,Employee,3-7 Years,Yes,Sometimes,Never,No,7 - Strongly agree,4 - Neither agree nor disagree,45-54,Male,6,6,6,6,6,7,7,6,7,7,6,6,6,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.666666666666667,6.666666666666667,6,4,4,0,Other,45-54
